session_id,player_id,activity_date,game_type,session_minutes,stake_amount,win_amount
1,100001,2026-01-22,Slots,9,60.7,65.68
2,100001,2026-02-11,Poker,36,119.55,89.12
3,100001,2026-02-16,Sportsbook,112,33.08,20.57
4,100001,2026-02-28,Slots,24,46.03,49.07
5,100001,2026-03-21,Live Casino,17,14.1,13.11
6,100001,2026-03-30,Table Games,52,46.34,39.91
7,100002,2026-03-14,Sportsbook,65,39.61,46.02
8,100002,2026-03-21,Sportsbook,55,38.36,40.34
9,100002,2026-03-23,Sportsbook,31,5.68,3.26
10,100002,2026-03-24,Live Casino,3,34.66,32.49
11,100002,2026-03-24,Table Games,16,26.77,28.08
12,100003,2026-02-11,Sportsbook,18,6.04,3.9
13,100003,2026-03-19,Live Casino,17,15.42,15.42
14,100004,2026-01-21,Live Casino,55,25.13,26.08
15,100004,2026-02-06,Slots,32,45.75,34.67
16,100004,2026-02-16,Slots,64,83.79,92.18
17,100004,2026-02-16,Live Casino,50,57.83,44.55
18,100004,2026-02-16,Slots,16,11.83,10.94
19,100004,2026-02-16,Slots,53,35.37,37.09
20,100004,2026-02-17,Sportsbook,17,31.88,31.3
21,100004,2026-02-26,Slots,71,139.88,108.89
22,100004,2026-03-08,Slots,19,51.08,35.38
23,100004,2026-03-09,Slots,17,47.85,49.56
24,100004,2026-03-20,Slots,5,63.74,65.83
25,100005,2026-01-06,Slots,33,80.48,82.22
26,100005,2026-01-22,Live Casino,50,58.27,49.27
27,100005,2026-01-31,Slots,23,62.42,64.59
28,100005,2026-01-31,Slots,29,21.02,13.71
29,100005,2026-01-31,Slots,11,32.65,19.03
30,100005,2026-02-16,Live Casino,14,29.51,25.82
31,100005,2026-02-22,Slots,75,29.72,25.96
32,100005,2026-02-26,Slots,34,4.77,5.28
33,100005,2026-03-20,Sportsbook,42,36.92,29.29
34,100005,2026-03-21,Slots,10,66.71,66.73
35,100005,2026-03-28,Slots,10,35.33,34.92
36,100005,2026-03-28,Live Casino,31,73.0,40.39
37,100005,2026-03-28,Slots,31,12.51,11.21
38,100006,2026-01-07,Sportsbook,76,22.5,21.2
39,100006,2026-01-16,Live Casino,18,39.39,37.35
40,100006,2026-01-31,Slots,35,18.92,14.61
41,100006,2026-02-08,Live Casino,65,14.91,11.59
42,100006,2026-02-23,Slots,13,51.05,28.73
43,100007,2026-01-03,Sportsbook,41,5.63,5.16
44,100007,2026-01-09,Slots,53,20.07,19.17
45,100007,2026-01-31,Slots,2,61.05,40.59
46,100007,2026-02-14,Live Casino,23,77.02,52.14
47,100007,2026-02-15,Live Casino,82,102.71,82.26
48,100007,2026-03-22,Slots,27,93.34,68.16
49,100007,2026-03-26,Sportsbook,48,3.33,3.51
50,100008,2026-01-24,Table Games,6,61.75,44.34
51,100008,2026-01-24,Slots,66,87.38,102.84
52,100008,2026-01-24,Sportsbook,27,80.55,60.94
53,100008,2026-01-24,Sportsbook,29,16.32,10.69
54,100008,2026-02-13,Sportsbook,30,64.63,76.19
55,100008,2026-02-13,Sportsbook,36,47.57,28.41
56,100008,2026-02-13,Sportsbook,66,20.66,20.21
57,100008,2026-02-13,Slots,25,22.34,23.28
58,100008,2026-02-17,Slots,16,44.38,35.11
59,100008,2026-03-05,Live Casino,10,38.22,31.71
60,100008,2026-03-05,Sportsbook,33,41.28,30.88
61,100008,2026-03-05,Sportsbook,47,40.1,26.76
62,100008,2026-03-30,Sportsbook,5,23.13,22.98
63,100009,2026-01-04,Slots,10,80.05,67.52
64,100009,2026-01-04,Slots,20,198.61,205.3
65,100009,2026-01-04,Table Games,14,234.6,173.98
66,100009,2026-01-04,Poker,142,218.76,159.46
67,100009,2026-01-05,Sportsbook,18,194.21,118.25
68,100009,2026-01-06,Slots,15,203.12,227.15
69,100009,2026-01-09,Live Casino,7,189.28,129.24
70,100009,2026-01-10,Slots,21,183.93,136.16
71,100009,2026-01-12,Slots,13,99.22,80.55
72,100009,2026-01-16,Sportsbook,37,218.61,238.78
73,100009,2026-01-16,Slots,53,76.61,64.65
74,100009,2026-01-16,Live Casino,30,113.97,80.51
75,100009,2026-01-18,Live Casino,42,147.76,127.65
76,100009,2026-01-20,Sportsbook,11,266.64,231.56
77,100009,2026-01-21,Live Casino,29,146.78,162.32
78,100009,2026-01-23,Live Casino,2,169.32,121.34
79,100009,2026-01-23,Sportsbook,25,244.15,178.67
80,100009,2026-01-23,Sportsbook,38,301.61,284.31
81,100009,2026-01-24,Sportsbook,29,390.67,400.68
82,100009,2026-01-24,Sportsbook,71,292.97,248.58
83,100009,2026-01-24,Slots,28,127.93,119.77
84,100009,2026-01-24,Sportsbook,77,220.4,236.23
85,100009,2026-01-26,Sportsbook,58,197.54,192.5
86,100009,2026-01-27,Slots,83,428.69,242.97
87,100009,2026-01-29,Table Games,45,159.99,160.7
88,100009,2026-01-30,Slots,19,211.71,136.15
89,100009,2026-01-31,Slots,64,281.37,277.15
90,100009,2026-02-03,Slots,10,787.53,783.31
91,100009,2026-02-03,Table Games,76,318.13,250.5
92,100009,2026-02-03,Slots,25,21.93,21.4
93,100009,2026-02-03,Live Casino,54,263.42,225.23
94,100009,2026-02-05,Slots,49,759.97,755.48
95,100009,2026-02-05,Sportsbook,30,455.52,518.71
96,100009,2026-02-05,Slots,26,139.63,155.6
97,100009,2026-02-06,Sportsbook,12,195.57,225.27
98,100009,2026-02-07,Live Casino,105,86.56,62.4
99,100009,2026-02-08,Slots,28,280.98,314.77
100,100009,2026-02-09,Sportsbook,22,134.39,155.58
101,100009,2026-02-10,Slots,72,155.42,159.49
102,100009,2026-02-14,Live Casino,56,562.03,610.2
103,100009,2026-02-15,Poker,29,219.41,175.55
104,100009,2026-02-15,Slots,51,381.98,421.07
105,100009,2026-02-16,Slots,27,238.24,264.51
106,100009,2026-02-16,Slots,83,219.23,221.55
107,100009,2026-02-16,Live Casino,40,113.98,111.12
108,100009,2026-02-16,Live Casino,50,141.15,106.79
109,100009,2026-02-19,Slots,94,160.68,112.21
110,100009,2026-02-19,Slots,49,401.46,223.7
111,100009,2026-02-21,Slots,22,358.28,310.48
112,100009,2026-02-23,Table Games,4,116.78,85.93
113,100009,2026-02-26,Slots,35,95.97,89.41
114,100009,2026-02-27,Live Casino,20,380.74,261.8
115,100009,2026-03-03,Table Games,33,102.64,92.93
116,100009,2026-03-04,Slots,35,106.95,93.88
117,100009,2026-03-05,Sportsbook,8,159.9,139.65
118,100009,2026-03-07,Slots,57,337.51,359.23
119,100009,2026-03-08,Slots,56,624.09,710.71
120,100009,2026-03-10,Sportsbook,12,758.88,726.17
121,100009,2026-03-11,Table Games,37,668.84,655.54
122,100009,2026-03-11,Sportsbook,35,127.43,84.42
123,100009,2026-03-11,Slots,62,631.29,348.59
124,100009,2026-03-12,Table Games,25,249.8,176.34
125,100009,2026-03-13,Table Games,13,774.69,630.69
126,100009,2026-03-14,Sportsbook,18,156.08,144.63
127,100009,2026-03-21,Sportsbook,54,245.83,268.97
128,100009,2026-03-25,Slots,9,133.64,123.84
129,100009,2026-03-26,Live Casino,71,131.94,90.94
130,100009,2026-03-29,Table Games,72,72.16,64.96
131,100009,2026-03-29,Slots,51,278.24,275.09
132,100009,2026-03-29,Slots,19,569.15,399.44
133,100009,2026-03-29,Live Casino,18,186.49,164.84
134,100009,2026-03-30,Slots,55,72.81,57.06
135,100009,2026-03-31,Slots,52,167.02,99.52
136,100010,2026-01-02,Sportsbook,22,31.38,22.85
137,100010,2026-01-16,Sportsbook,5,129.59,143.35
138,100010,2026-01-25,Sportsbook,6,27.15,20.41
139,100010,2026-01-27,Slots,34,64.45,41.37
140,100010,2026-01-27,Poker,52,25.42,20.67
141,100010,2026-01-27,Live Casino,65,130.47,140.26
142,100010,2026-01-27,Live Casino,28,26.1,18.59
143,100010,2026-01-28,Table Games,27,30.67,20.12
144,100010,2026-01-31,Table Games,16,50.89,57.39
145,100010,2026-02-01,Slots,47,31.0,33.59
146,100010,2026-02-08,Table Games,11,29.8,32.21
147,100010,2026-02-12,Slots,24,33.22,26.08
148,100010,2026-02-20,Slots,63,50.28,43.11
149,100010,2026-03-03,Slots,71,65.86,47.62
150,100010,2026-03-12,Live Casino,26,55.22,58.42
151,100010,2026-03-19,Sportsbook,55,8.65,5.8
152,100010,2026-03-31,Sportsbook,67,72.44,56.87
153,100011,2026-01-05,Slots,65,37.84,24.9
154,100011,2026-01-08,Slots,40,38.68,42.18
155,100011,2026-01-11,Sportsbook,26,32.35,35.49
156,100011,2026-01-12,Slots,57,9.0,10.2
157,100011,2026-02-18,Table Games,31,7.41,4.15
158,100011,2026-02-18,Sportsbook,44,53.62,57.22
159,100011,2026-02-18,Slots,34,32.35,29.34
160,100011,2026-02-21,Sportsbook,37,77.25,78.49
161,100011,2026-03-02,Live Casino,25,99.4,76.33
162,100011,2026-03-12,Slots,24,55.66,52.14
163,100011,2026-03-23,Slots,5,9.86,10.29
164,100011,2026-03-25,Live Casino,25,28.29,18.87
165,100011,2026-03-29,Slots,11,41.76,29.45
166,100012,2026-01-12,Table Games,76,42.0,31.26
167,100012,2026-01-14,Table Games,53,44.06,36.69
168,100012,2026-01-20,Poker,47,79.76,48.54
169,100012,2026-02-10,Live Casino,30,33.55,26.65
170,100012,2026-02-16,Slots,26,41.91,36.81
171,100012,2026-02-16,Table Games,26,10.57,7.6
172,100012,2026-02-16,Live Casino,12,61.51,45.45
173,100012,2026-02-16,Sportsbook,34,15.66,15.73
174,100012,2026-02-19,Sportsbook,86,73.63,40.81
175,100013,2026-01-18,Slots,15,54.81,63.45
176,100013,2026-01-26,Slots,59,14.05,12.82
177,100013,2026-02-08,Live Casino,36,35.81,22.26
178,100013,2026-02-11,Live Casino,5,43.95,39.4
179,100013,2026-02-12,Slots,24,17.32,12.7
180,100013,2026-02-25,Live Casino,87,39.27,33.95
181,100013,2026-02-26,Sportsbook,49,31.33,32.81
182,100013,2026-03-03,Sportsbook,39,47.91,41.64
183,100013,2026-03-18,Slots,52,7.17,5.57
184,100013,2026-03-19,Slots,83,11.74,12.14
185,100013,2026-03-25,Slots,103,179.33,209.76
186,100013,2026-03-30,Slots,14,19.85,12.24
187,100013,2026-03-30,Slots,76,156.25,140.86
188,100013,2026-03-30,Table Games,14,60.56,50.98
189,100014,2026-01-14,Slots,36,43.4,27.04
190,100014,2026-01-14,Poker,49,52.35,43.81
191,100014,2026-02-07,Table Games,36,36.57,36.17
192,100014,2026-02-23,Sportsbook,27,26.48,28.73
193,100014,2026-03-03,Slots,23,42.0,36.75
194,100014,2026-03-03,Table Games,42,48.74,40.99
195,100015,2026-01-01,Slots,94,60.79,41.32
196,100015,2026-01-04,Slots,32,51.51,56.63
197,100015,2026-01-26,Slots,57,41.37,45.24
198,100015,2026-02-19,Poker,140,53.28,49.01
199,100015,2026-02-20,Live Casino,33,16.09,16.01
200,100015,2026-02-24,Sportsbook,58,38.09,23.78
201,100015,2026-02-27,Live Casino,8,57.3,46.61
202,100015,2026-03-17,Slots,166,46.85,46.23
203,100015,2026-03-20,Sportsbook,74,133.03,84.92
204,100016,2026-01-02,Slots,24,107.38,64.94
205,100016,2026-01-03,Live Casino,32,366.36,400.24
206,100016,2026-01-04,Sportsbook,37,138.35,146.29
207,100016,2026-01-05,Sportsbook,58,123.96,91.03
208,100016,2026-01-07,Sportsbook,9,340.16,347.83
209,100016,2026-01-07,Slots,23,103.57,65.62
210,100016,2026-01-08,Slots,33,260.02,246.61
211,100016,2026-01-11,Slots,71,267.08,273.05
212,100016,2026-01-14,Table Games,71,257.11,282.16
213,100016,2026-01-15,Slots,14,398.65,419.09
214,100016,2026-01-16,Slots,14,276.27,201.31
215,100016,2026-01-18,Table Games,14,155.91,147.25
216,100016,2026-01-18,Sportsbook,38,420.85,494.44
217,100016,2026-01-20,Sportsbook,57,200.95,228.6
218,100016,2026-01-20,Table Games,93,528.03,345.48
