transaction_id,player_id,transaction_date,transaction_type,amount,payment_method,notes
1,100003.0,2026-02-11,deposit,35.29,Crypto,
2,100004.0,2026-01-21,withdrawal,22.88,Crypto,
3,100004.0,2026-03-08,deposit,29.15,Crypto,
4,100004.0,2026-03-20,deposit,30.69,Bank Transfer,
5,100005.0,2026-02-16,deposit,30.05,Bank Transfer,
6,100005.0,2026-03-20,deposit,10.87,E-Wallet,
7,100005.0,2026-03-28,deposit,158.44,Card,
8,100005.0,2026-03-28,deposit,141.71,Bank Transfer,
9,100006.0,2026-01-07,deposit,21.11,Crypto,
10,100006.0,2026-02-23,withdrawal,112.58,Bank Transfer,
11,100007.0,2026-01-31,deposit,52.98,Bank Transfer,
12,100007.0,2026-03-22,withdrawal,41.95,Card,
13,100008.0,2026-01-24,deposit,110.83,Card,
14,100008.0,2026-02-13,deposit,133.86,Crypto,
15,100008.0,2026-02-13,withdrawal,84.27,E-Wallet,
16,100008.0,2026-03-05,deposit,37.15,Crypto,
17,100009.0,2026-01-04,withdrawal,420.27,Crypto,
18,100009.0,2026-01-04,deposit,89.1,E-Wallet,
19,100009.0,2026-01-04,deposit,339.64,E-Wallet,
20,100009.0,2026-01-04,deposit,46.52,Card,
21,100009.0,2026-01-06,deposit,496.62,Crypto,
22,100009.0,2026-01-06,withdrawal,35.03,Card,
23,100009.0,2026-01-10,deposit,964.25,Bank Transfer,
24,100009.0,2026-01-16,withdrawal,16.34,Card,
25,100009.0,2026-01-16,deposit,301.49,Card,
26,100009.0,2026-01-16,withdrawal,16.65,Card,
27,100009.0,2026-01-16,withdrawal,93.23,Crypto,
28,100009.0,2026-01-23,deposit,143.19,Bank Transfer,
29,100009.0,2026-01-23,withdrawal,50.22,E-Wallet,
30,100009.0,2026-01-23,withdrawal,24.48,Crypto,
31,100009.0,2026-01-24,deposit,469.45,Card,
32,100009.0,2026-01-24,deposit,609.01,Card,
33,100009.0,2026-01-30,withdrawal,125.77,Bank Transfer,
34,100009.0,2026-02-06,deposit,250.5,Crypto,
35,100009.0,2026-02-08,deposit,345.53,Card,
36,100009.0,2026-02-08,withdrawal,106.03,Bank Transfer,
37,100009.0,2026-02-09,withdrawal,249.32,Crypto,
38,100009.0,2026-02-10,deposit,348.65,Bank Transfer,
39,100009.0,2026-02-10,withdrawal,163.55,Crypto,
40,100009.0,2026-02-14,deposit,683.5,E-Wallet,
41,100009.0,2026-02-15,deposit,448.95,Bank Transfer,
42,100009.0,2026-02-15,withdrawal,584.18,Card,
43,100009.0,2026-02-16,deposit,165.51,Bank Transfer,
44,100009.0,2026-02-16,deposit,412.48,E-Wallet,
45,100009.0,2026-02-16,withdrawal,107.01,Card,
46,100009.0,2026-02-27,deposit,204.89,Card,
47,100009.0,2026-03-03,deposit,251.8,Card,
48,100009.0,2026-03-04,deposit,273.17,Card,
49,100009.0,2026-03-05,withdrawal,45.22,Card,
50,100009.0,2026-03-08,deposit,631.35,Crypto,
51,100009.0,2026-03-08,withdrawal,203.02,Crypto,
52,100009.0,2026-03-11,deposit,500.7,Bank Transfer,
53,100009.0,2026-03-12,deposit,885.87,Crypto,
54,100009.0,2026-03-14,withdrawal,107.57,Crypto,
55,100009.0,2026-03-21,deposit,426.48,Bank Transfer,
56,100009.0,2026-03-26,deposit,347.58,Bank Transfer,
57,100009.0,2026-03-29,deposit,474.1,Card,
58,100009.0,2026-03-29,deposit,841.71,Card,
59,100009.0,2026-03-29,withdrawal,144.27,Bank Transfer,
60,100010.0,2026-01-27,deposit,86.87,Crypto,
61,100010.0,2026-02-20,deposit,66.41,Bank Transfer,
62,100010.0,2026-03-03,withdrawal,63.73,Crypto,
63,100011.0,2026-01-08,deposit,15.42,Card,
64,100011.0,2026-03-02,deposit,133.95,E-Wallet,
65,100011.0,2026-03-29,deposit,96.08,Bank Transfer,
66,100012.0,2026-02-10,deposit,27.69,Card,
67,100012.0,2026-02-16,deposit,389.41,E-Wallet,
68,100013.0,2026-02-26,deposit,54.01,Bank Transfer,
69,100013.0,2026-03-30,deposit,117.69,Card,
70,100015.0,2026-02-27,deposit,10.0,Crypto,
71,100016.0,2026-01-02,withdrawal,156.53,Bank Transfer,
72,100016.0,2026-01-07,withdrawal,301.58,Crypto,
73,100016.0,2026-01-07,deposit,357.78,Bank Transfer,
74,100016.0,2026-01-14,withdrawal,282.35,Bank Transfer,
75,100016.0,2026-01-16,withdrawal,127.65,Card,
76,100016.0,2026-01-18,withdrawal,177.45,E-Wallet,
77,100016.0,2026-01-20,deposit,397.22,Bank Transfer,
78,100016.0,2026-01-20,withdrawal,86.69,Card,
79,100016.0,2026-01-29,deposit,698.31,Card,
80,100016.0,2026-02-05,deposit,309.61,E-Wallet,
81,100016.0,2026-02-07,deposit,692.27,E-Wallet,
82,100016.0,2026-02-07,withdrawal,237.99,E-Wallet,
83,100016.0,2026-02-16,deposit,204.44,Bank Transfer,
84,100016.0,2026-02-22,deposit,375.06,E-Wallet,
85,100016.0,2026-02-23,deposit,208.35,Card,
86,100016.0,2026-02-23,withdrawal,69.1,E-Wallet,
87,100016.0,2026-02-24,withdrawal,254.24,Card,
88,100016.0,2026-02-26,deposit,53.21,Bank Transfer,
89,100016.0,2026-02-27,deposit,1232.23,E-Wallet,
90,100016.0,2026-02-27,deposit,425.93,Crypto,
91,100016.0,2026-03-05,deposit,576.56,E-Wallet,
92,100016.0,2026-03-07,deposit,756.12,E-Wallet,
93,100016.0,2026-03-07,withdrawal,472.62,E-Wallet,
94,100016.0,2026-03-10,withdrawal,81.15,Card,
95,100016.0,2026-03-13,deposit,225.81,Bank Transfer,
96,100016.0,2026-03-13,deposit,501.83,Bank Transfer,
97,100016.0,2026-03-14,deposit,126.49,E-Wallet,
98,100016.0,2026-03-16,withdrawal,51.3,Bank Transfer,
99,100016.0,2026-03-22,deposit,263.46,Bank Transfer,
100,100016.0,2026-03-24,withdrawal,50.16,Crypto,
